date,open,high,low,close,volume,dividend,ratio
2019-03-17,0.051293,0.051339,0.04978,0.049938,58131460.0,0.0,1
2019-03-18,0.050027,0.051012,0.049354,0.050361,50556968.0,0.0,1
2019-03-19,0.050317,0.053235,0.049588,0.052174,62305690.0,0.0,1
2019-03-20,0.052181,0.053887,0.051201,0.05387,77121035.0,0.0,1
2019-03-21,0.053867,0.054998,0.050974,0.052838,88360452.0,0.0,1
2019-03-22,0.052819,0.058986,0.052738,0.057967,142940292.0,0.0,1
2019-03-23,0.058058,0.064645,0.057048,0.063808,195394110.0,0.0,1
2019-03-24,0.06374,0.064687,0.060022,0.061432,191281453.0,0.0,1
2019-03-25,0.061402,0.061712,0.057702,0.059053,104336367.0,0.0,1
2019-03-26,0.059029,0.062267,0.059029,0.062194,96563076.0,0.0,1
2019-03-27,0.062048,0.068114,0.061153,0.067472,155487048.0,0.0,1
2019-03-28,0.067315,0.067315,0.064825,0.065875,151780650.0,0.0,1
2019-03-29,0.065948,0.073319,0.065948,0.072277,155979189.0,0.0,1
2019-03-30,0.071717,0.073381,0.069298,0.072701,175547278.0,0.0,1
2019-03-31,0.072911,0.073278,0.070949,0.071555,123513530.0,0.0,1
2019-04-01,0.071499,0.073619,0.070602,0.07323,112459175.0,0.0,1
2019-04-02,0.073114,0.085173,0.07164,0.085173,209381370.0,0.0,1
2019-04-03,0.085645,0.099384,0.085142,0.091063,362934799.0,0.0,1
2019-04-04,0.091068,0.0941,0.083632,0.087501,343844760.0,0.0,1
2019-04-05,0.087509,0.091862,0.087509,0.0907,257975622.0,0.0,1
2019-04-06,0.090885,0.093851,0.087933,0.090425,177098457.0,0.0,1
2019-04-07,0.090293,0.091366,0.088865,0.090702,161900370.0,0.0,1
2019-04-08,0.090639,0.091863,0.083906,0.087321,182943829.0,0.0,1
2019-04-09,0.087284,0.087284,0.082869,0.084239,179338236.0,0.0,1
2019-04-10,0.084233,0.092626,0.084139,0.089982,160973048.0,0.0,1
2019-04-11,0.090051,0.090797,0.078414,0.083237,203916367.0,0.0,1
2019-04-12,0.083603,0.085803,0.080726,0.0834,191214458.0,0.0,1
2019-04-13,0.083441,0.085938,0.083025,0.084344,125993896.0,0.0,1
2019-04-14,0.084254,0.08556,0.082129,0.084981,107776995.0,0.0,1
2019-04-15,0.085152,0.085907,0.082233,0.083221,108782075.0,0.0,1
2019-04-16,0.083096,0.084724,0.081028,0.084645,100985235.0,0.0,1
2019-04-17,0.08455,0.084992,0.082735,0.083647,92664023.0,0.0,1
2019-04-18,0.083719,0.084465,0.081675,0.082058,93400674.0,0.0,1
2019-04-19,0.082082,0.082082,0.078741,0.079886,114478947.0,0.0,1
2019-04-20,0.079821,0.079887,0.075924,0.076902,106071042.0,0.0,1
2019-04-21,0.076988,0.078441,0.072594,0.074689,121997965.0,0.0,1
2019-04-22,0.074611,0.079548,0.072961,0.078474,120917888.0,0.0,1
2019-04-23,0.078961,0.080935,0.074768,0.074986,146237974.0,0.0,1
2019-04-24,0.074922,0.076334,0.06928,0.07296,134482628.0,0.0,1
2019-04-25,0.073135,0.076418,0.069547,0.069547,127951780.0,0.0,1
2019-04-26,0.069651,0.070611,0.066818,0.069183,136600007.0,0.0,1
2019-04-27,0.069374,0.071853,0.068458,0.070405,92210347.0,0.0,1
2019-04-28,0.070369,0.070806,0.068052,0.068901,67124947.0,0.0,1
2019-04-29,0.068823,0.069237,0.064537,0.064871,70101608.0,0.0,1
2019-04-30,0.0651,0.069773,0.064593,0.069773,86592685.0,0.0,1
2019-05-01,0.06974,0.070198,0.067185,0.068978,94350407.0,0.0,1
2019-05-02,0.06907,0.069661,0.064929,0.068469,85819720.0,0.0,1
2019-05-03,0.068468,0.071867,0.067641,0.069482,108941562.0,0.0,1
2019-05-04,0.069453,0.071526,0.066371,0.066783,105491017.0,0.0,1
2019-05-05,0.066758,0.067719,0.065846,0.065961,96710706.0,0.0,1
2019-05-06,0.065976,0.06863,0.063781,0.066903,85675605.0,0.0,1
2019-05-07,0.066916,0.068979,0.064161,0.064161,62621916.0,0.0,1
2019-05-08,0.064022,0.065088,0.062451,0.064634,47063521.0,0.0,1
2019-05-09,0.064601,0.064962,0.060549,0.06194,44846858.0,0.0,1
2019-05-10,0.061773,0.064764,0.059603,0.063737,80258317.0,0.0,1
2019-05-11,0.063464,0.078397,0.063274,0.075746,167453083.0,0.0,1
2019-05-12,0.075678,0.076907,0.068764,0.070421,252798220.0,0.0,1
2019-05-13,0.07066,0.076124,0.070037,0.072936,190289034.0,0.0,1
2019-05-14,0.072883,0.084516,0.072664,0.084516,249340810.0,0.0,1
2019-05-15,0.084927,0.094664,0.083606,0.093727,287040857.0,0.0,1
2019-05-16,0.093804,0.099939,0.084722,0.088079,374009804.0,0.0,1
2019-05-17,0.088408,0.090215,0.076727,0.083615,324691869.0,0.0,1
2019-05-18,0.083831,0.085021,0.079493,0.079744,241811147.0,0.0,1
2019-05-19,0.079779,0.088223,0.079373,0.0871,202733098.0,0.0,1
2019-05-20,0.086935,0.086935,0.080828,0.085154,194765940.0,0.0,1
2019-05-21,0.085271,0.086444,0.082762,0.084713,200456287.0,0.0,1
2019-05-22,0.084558,0.085705,0.078584,0.078584,186952101.0,0.0,1
2019-05-23,0.078509,0.080975,0.074757,0.080975,185713925.0,0.0,1
2019-05-24,0.081039,0.083332,0.078813,0.080869,137784017.0,0.0,1
2019-05-25,0.081189,0.08283,0.080247,0.080999,116735729.0,0.0,1
2019-05-26,0.080946,0.087201,0.079204,0.086805,99966279.0,0.0,1
