Date,Open,High,Low,Close,Adj Close,Volume
2021-06-26,425.280243,430.658752,401.160248,416.861145,416.861145,37258
2021-06-27,417.106537,457.260651,417.106537,457.260651,457.260651,8496
2021-06-28,456.425507,508.897736,455.778259,484.886871,484.886871,24847
2021-06-29,484.690216,505.680542,477.650818,489.607147,489.607147,7243
2021-06-30,489.722748,509.987396,470.852570,508.309753,508.309753,21528
2021-07-01,509.189270,522.363708,458.915161,482.153290,482.153290,20432
2021-07-02,482.004181,514.115906,461.595306,512.863770,512.863770,0
2021-07-03,512.790771,532.133789,485.995544,492.825836,492.825836,1725
2021-07-04,492.926086,568.146729,486.438507,555.633179,555.633179,20201
2021-07-05,555.560425,555.593994,508.885101,527.620056,527.620056,6120
2021-07-06,527.495361,571.739563,526.763733,565.059021,565.059021,3884
2021-07-07,565.880249,657.477051,561.155579,643.476074,643.476074,60408
2021-07-08,643.542908,680.483459,601.174255,608.324036,608.324036,27050
2021-07-09,608.742249,639.778748,592.700989,637.525818,637.525818,4166
2021-07-10,637.617126,683.490967,635.734497,646.721924,646.721924,29903
2021-07-11,650.115051,675.963196,636.644531,662.361511,662.361511,4519
2021-07-12,662.259644,667.825806,592.053955,623.298889,623.298889,9661
2021-07-13,623.343201,650.161438,601.914978,635.768860,635.768860,20016
2021-07-14,636.335083,704.484375,614.385986,699.971436,699.971436,12462
2021-07-15,700.016846,750.534363,665.987793,668.401733,668.401733,10994
2021-07-16,668.019226,682.566223,618.702942,620.450928,620.450928,3717
2021-07-17,620.032288,624.419556,559.951355,585.281433,585.281433,14773
2021-07-18,585.085144,611.273743,577.082336,588.493835,588.493835,1249
2021-07-19,588.544006,591.786194,552.712952,553.471619,553.471619,811
2021-07-20,553.652832,557.326782,487.020020,503.102203,503.102203,22379
2021-07-21,503.920837,594.774658,497.521942,594.765808,594.765808,20682
2021-07-22,594.536560,630.890137,594.228882,626.173279,626.173279,10093
2021-07-23,626.202209,791.242737,625.551392,791.242737,791.242737,79119
2021-07-24,791.439636,889.311218,787.550049,858.490356,858.490356,38518
2021-07-25,859.184021,863.981506,803.956360,832.324585,832.324585,4496
2021-07-26,832.474365,906.768433,775.497986,804.165283,804.165283,15672
2021-07-27,803.940186,920.074829,775.105957,900.976379,900.976379,26291
2021-07-28,902.037048,916.652893,849.597778,892.007935,892.007935,9327
2021-07-29,895.598694,907.166504,868.052246,899.049316,899.049316,1242
2021-07-30,898.653748,936.765991,836.441528,885.382874,885.382874,4427
2021-07-31,886.185425,936.776917,870.748108,932.492676,932.492676,13588
2021-08-01,931.886902,933.333252,836.874084,843.693542,843.693542,43476
2021-08-02,844.092163,876.357178,820.881958,854.585876,854.585876,23575
2021-08-03,855.095337,856.319031,803.298950,825.371399,825.371399,8671
2021-08-04,825.093018,919.778809,809.025879,909.822021,909.822021,2801
2021-08-05,909.397278,924.744507,842.461365,923.073975,923.073975,7762
2021-08-06,923.044250,948.963013,884.627747,918.921326,918.921326,28154
2021-08-07,919.048462,1000.810303,913.246338,946.716370,946.716370,23944
2021-08-08,946.051697,951.189636,878.479858,893.420105,893.420105,22557
2021-08-09,892.821045,908.811279,847.693481,875.088257,875.088257,10773
2021-08-10,875.479492,1014.017151,862.857422,959.389648,959.389648,46852
2021-08-11,959.782043,1185.092407,959.392761,1149.809570,1149.809570,104949
2021-08-12,1150.827637,1172.284058,1057.681274,1103.418457,1103.418457,5483
2021-08-13,1101.757080,1228.135864,1100.046997,1217.023560,1217.023560,16144
2021-08-14,1216.715088,1243.073486,1169.189575,1233.015747,1233.015747,18769
2021-08-15,1233.670166,1236.770630,1149.912598,1217.103394,1217.103394,98350
2021-08-16,1218.031494,1280.899414,1206.017334,1207.888916,1207.888916,65381
2021-08-17,1208.370483,1276.923218,1166.766846,1174.380859,1174.380859,19613
2021-08-18,1173.237671,1220.445435,1142.926392,1165.272461,1165.272461,18497
2021-08-19,1165.015015,1206.488159,1118.946533,1204.355591,1204.355591,21855
2021-08-20,1205.775146,1282.868652,1205.775146,1269.210205,1269.210205,46494
2021-08-21,1269.905396,1375.561523,1265.818481,1351.499634,1351.499634,73097
2021-08-22,1351.120850,1394.142334,1307.075439,1332.787231,1332.787231,51185
2021-08-23,1333.222412,1540.135742,1331.379028,1463.967407,1463.967407,130389
2021-08-24,1464.131714,1473.753296,1358.526123,1378.024292,1378.024292,4273
2021-08-25,1377.919678,1408.342896,1347.799805,1394.962769,1394.962769,1336
2021-08-26,1396.148804,1536.226929,1393.120483,1491.586304,1491.586304,57485
2021-08-27,1494.093262,1565.856934,1456.745728,1561.862549,1561.862549,7033
2021-08-28,1561.889771,1599.552124,1551.682861,1587.868530,1587.868530,7780
