,Date,ADA_close,AVAX_close,FLOW_close,MANA_close,MATIC_close,SOL_close,TFUEL_close,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
47,2017-11-18,0.026375259,2.7645480204928865,1.0774433731475723,0.01316027,0.004794803313736,1.0775251651693043,0.0098703263846763,0,0.0,,0,0,0,0.0,0.0,0,0
48,2017-11-19,0.027999717,2.7314635658038107,1.0645491762681163,0.013108468,0.0047374219798613,1.064629989451927,0.0097522042310296,1,35.34,35.34,2,0,1,0.0,35.34,1,1
49,2017-11-20,0.029416131,2.89612821633493,1.128724887882192,0.012946818,0.0050230146359372,1.128810572840548,0.0103401100415682,4,146.31,36.58,4,0,4,0.0,146.31,3,1
50,2017-11-21,0.028435793,2.9196731962413103,1.1379012097919483,0.013190123,0.0050638508040342,1.1379875913529656,0.0104241731993336,105,340.63,3.24,29,100,5,315.88,24.76,27,13
51,2017-11-22,0.028577891,3.090555249527565,1.2045000659298497,0.013467959,0.0053602268587387,1.2045915032137235,0.0110342771391879,62,735.06,11.86,28,41,21,312.03,423.04,20,24
52,2017-11-23,0.027555339,3.188638904497671,1.2427267790410916,0.014016716,0.0055303421290787,1.2428211182316713,0.0113844673621033,880,2903.94,3.3,84,728,152,1932.67,971.27,81,36
53,2017-11-24,0.028347575,3.1528735698401484,1.2287877472248592,0.016168529,0.005468311104889,1.2288810282609024,0.0112567736039519,3093,7487.96,2.42,151,2613,480,2451.49,5036.47,140,74
54,2017-11-25,0.030519448,3.323335657056444,1.2952229275446268,0.015614216,0.0057639587748127,1.2953212518783948,0.0118653781297427,2029,2356.38,1.16,131,1837,192,995.14,1361.25,124,53
55,2017-11-26,0.035759118,4.690145032929826,1.8279174922525991,0.015642049,0.0081345387307777,1.8280562550599788,0.0167453275990598,1247,2351.64,1.89,109,1117,130,1054.69,1296.95,94,49
56,2017-11-27,0.050743701,6.164274592491632,2.4024385761105105,0.017554894,0.0106912536963593,2.402620952570494,0.0220084446722008,968,2003.16,2.07,119,814,154,586.25,1416.91,99,63
57,2017-11-28,0.12087787,7.024442577049439,2.7376768457609244,0.018291642,0.0121831200962753,2.7378846711832567,0.0250795212786839,1593,4726.17,2.97,260,1056,537,1586.91,3139.25,240,97
58,2017-11-29,0.091985005,6.733294888423078,2.624206164335837,0.015393288,0.0116781565753438,2.6244053758517008,0.0240400303052647,5385,29706.06,5.52,626,3603,1782,15781.31,13924.74,594,289
59,2017-11-30,0.122796554,8.7394459491748,3.4060750810329483,0.015168249,0.0151576040953881,3.406333646609564,0.0312026354037479,8173,23812.56,2.91,786,6279,1894,10403.16,13409.41,740,345
60,2017-12-01,0.130919446,8.901466688927405,3.469220365927579,0.01575019,0.0154386111801271,3.469483725055896,0.0317811016016907,7833,35961.42,4.59,1018,5725,2108,19341.88,16619.54,963,368
61,2017-12-02,0.133986574,9.429248835407032,3.6749159704078695,0.017020817,0.0163539910419029,3.6751949445186254,0.0336654537660023,13066,263614.44,20.18,1594,8726,4340,208473.18,55141.27,1476,608
62,2017-12-03,0.13297173,8.41986517310871,3.281523007129606,0.017192093,0.0146033265235285,3.281772117577359,0.0300616291551105,28773,1041195.72,36.19,4236,15714,13059,620048.43,421147.3,3854,2008
63,2017-12-04,0.13565318,7.612768105410016,2.966968374461748,0.018187335,0.0132035057694588,2.967193606105294,0.0271800328061779,38862,2437263.56,62.72,7178,23404,15458,463410.43,1973853.13,6656,3224
64,2017-12-05,0.129202204,7.693300158775145,2.9983545998342245,0.023558883,0.0133431797246496,2.998582214102131,0.0274675581612268,41907,2326938.72,55.53,9872,25639,16268,583755.52,1743183.2,9450,3292
65,2017-12-06,0.119855284,7.337652427575639,2.859745941812955,0.060286131,0.0127263480011861,2.8599630338737074,0.0261977812722426,32921,1931152.8,58.66,8897,20343,12578,399466.06,1531686.74,8395,2370
66,2017-12-07,0.110885162,6.467939813168811,2.5207877880788705,0.062644008,0.0112179274945992,2.520979148789496,0.023092627264632,37690,1773679.09,47.06,9788,21873,15817,270542.44,1503136.65,8796,3139
67,2017-12-08,0.117555869,6.181360298840484,2.4090974877823843,0.051366057,0.0107208869676253,2.4092803697407184,0.022069446144024,44990,2129154.72,47.33,12138,26807,18183,372449.96,1756704.76,10804,4198
68,2017-12-09,0.120803494,5.307734866353164,2.068614368708611,0.054027618,0.0092056801100836,2.068771403552035,0.0189503221162683,50530,1847526.2,36.56,12807,30576,19954,662475.11,1185051.09,11781,4278
69,2017-12-10,0.111121255,6.214387679580959,2.4219694409000234,0.074361949,0.0107781693130375,2.4221533000076865,0.0221873645253011,52457,1406415.76,26.81,12874,32043,20414,471275.42,935140.34,11776,4242
70,2017-12-11,0.120887113,6.178546491804653,2.408000846406797,0.07371278,0.010716006729988,2.40818364511573,0.0220593999470973,47031,1141288.35,24.27,11995,27992,19039,391443.3,749845.05,10850,3981
71,2017-12-12,0.130403164,6.570386348057536,2.5607148717466406,0.081435524,0.0113956096984618,2.560909263444301,0.0234583943733367,38001,841499.95,22.14,10684,24453,13548,324107.52,517392.43,9516,3224
72,2017-12-13,0.132194746,6.925995195328189,2.6993083753082465,0.120009692,0.0120123739820437,2.69951328806264,0.0247280324341775,29646,633317.41,21.36,9841,17165,12481,212802.68,420514.72,8222,3444
73,2017-12-14,0.225641286,8.539537951273486,3.3281637747429715,0.124236612,0.0148108857444409,3.3284164258340407,0.0304888994977095,31329,614563.28,19.62,8789,20316,11013,225871.94,388691.33,7349,3211
74,2017-12-15,0.214174321,8.245265114153188,3.213475111025684,0.105545553,0.0143005019984876,3.2137190557495248,0.0294382507381325,23011,457800.16,19.89,6831,14747,8264,225246.99,232553.18,5839,2196
75,2017-12-16,0.405465775,13.532967220931129,5.274281995874298,0.097606424,0.023471437498862,5.2746823827515845,0.0483170494538566,27267,1039473.99,38.12,6542,18769,8498,695378.82,344095.17,5546,2179
76,2017-12-17,0.47796484,15.29811988834977,5.962225207569677,0.105515045,0.026532899913785,5.962677818320183,0.0546192127069651,21234,685084.81,32.26,5479,13910,7324,439519.19,245565.62,4695,1801
