Date,Open,High,Low,Close,Volume,Market Cap
2021-05-29,13.24,14.78,13.16,13.39,38215836.18644068,585405922.1699582
2021-05-30,13.39,13.6,12.82,13.6,30827187.182608694,563848391.5995375
2021-05-31,13.57,13.91,13.05,13.91,23728276.84426229,571108680.4693744
2021-06-01,13.91,13.91,13.26,13.41,19574530.00862069,573864531.1334488
2021-06-02,13.42,14.55,13.15,14.22,21147751.54185022,579844381.496085
2021-06-03,14.22,15.21,13.77,14.83,29485155.827160493,614677983.7063825
2021-06-04,14.83,16.12,14.21,14.95,52896979.62406016,635420840.9137295
2021-06-05,14.95,15.5,13.94,13.98,37452198.828125,615195510.7957438
2021-06-06,14.03,14.46,13.92,14.14,34522765.72277228,600287757.0739716
2021-06-07,14.2,14.46,13.51,13.51,43388652.049019605,602565371.4194311
2021-06-08,13.46,13.57,11.64,12.56,36014735.95967742,531356585.0770667
2021-06-09,12.56,12.99,12.02,12.98,32385230.192139737,531358641.2128249
2021-06-10,12.98,13.3,12.21,12.41,23614500.452173915,546669152.8040756
2021-06-11,12.47,14.48,12.21,13.01,31176280.85596708,558032963.0729188
2021-06-12,13.04,13.04,11.74,12.21,34491511.85062241,515408826.1888491
2021-06-13,12.23,12.59,11.9,12.57,20935541.834862385,516883713.0330053
2021-06-14,12.57,13.27,12.47,13.06,24869899.619909503,542690573.6588594
2021-06-15,13.06,13.1,12.11,12.37,24685029.605504587,534223146.5091482
2021-06-16,12.35,12.7,11.75,11.8,27467666.54222222,515816287.44066143
2021-06-17,11.8,12.37,11.68,11.86,28033084.63414634,507690145.56071794
2021-06-18,11.86,11.92,10.01,10.26,33882877.089361705,467201467.3308666
2021-06-19,10.26,10.74,9.71,10.06,41654769.21052632,427516921.4206855
2021-06-20,9.99,10.10333663107595,8.74,9.42,43204624.40552995,403870619.0186789
2021-06-21,9.404059236746397,9.78,7.17,7.33,49661063.13513514,351714201.75871414
2021-06-22,7.31,7.5,6.09,7.11,40562583.589147285,296268292.8274999
2021-06-23,7.12,8.717633900348497,7.12,8.56,46465195.04782609,340889431.6409396
2021-06-24,8.56,8.79,8.48,8.73,40541525.0591133,367819231.612387
2021-06-25,8.73,8.8,7.85,8.03,33698343.56962025,353813722.92754006
2021-06-26,8.03,8.14,7.493199904197443,7.93,41682118.83486239,333142650.4176269
2021-06-27,7.97,8.53,7.95,8.53,36169229.19650655,350450755.4311497
2021-06-28,8.57,8.82,8.37,8.75,31450965.19047619,367773137.2556792
2021-06-29,8.76,9.46,8.72,9.4,31441720.25210084,388808568.8658903
2021-06-30,9.37,9.56,8.69,9.56,29718399.8852459,387997494.8150782
2021-07-01,9.6,9.68,8.89,9.13,27692193.655737706,388789681.2048396
2021-07-02,9.15,9.75,9.14,9.64,40456585.63636363,399896945.3142193
2021-07-03,9.64,10.614763026419798,9.54,10.614763026419798,50833119.82608695,430170595.8171618
2021-07-04,10.74,11.43,10.53,11.12,55525059.95141701,469706542.3145636
2021-07-05,11.1,11.25,10.027037632323095,10.41,36218687.552123554,444796111.7817509
2021-07-06,10.44,12.24,10.38,11.69,44938377.40322581,483262433.2700585
2021-07-07,11.77,16.08,11.31,15.8,56116720.649446495,583658312.3141676
2021-07-08,16.08,18.11,13.24,13.644284869816588,104274183.63120568,649787979.5939999
2021-07-09,13.71,15.4,12.05,15.195488923278225,61931497.05494505,555374129.499579
2021-07-10,15.19,18.76,15.069030929446413,18.453229475236224,119214290.3888889,727457584.4239659
2021-07-11,18.38118105900231,20.21702794455241,17.31,19.158174489731326,132785011.26132403,793177500.0065968
2021-07-12,19.110574472025007,19.110574472025007,16.71,16.71,64772651.855421685,882265317.4404095
2021-07-13,16.58,18.48,15.88,16.89,69848649.34814815,882627213.4879892
2021-07-14,16.89,18.16,15.85,17.89,74514455.72623575,866363392.8541592
2021-07-15,17.94,20.28,17.261857647920994,17.337330479388168,91886942.02120142,947623399.2616848
2021-07-16,17.44,19.14,15.97,16.98,80153350.45255475,896925215.8180119
2021-07-17,16.94,16.94,14.92,15.2,49840285.565891474,787298603.8704602
2021-07-18,15.2,16.07,14.32,14.93,34304089.88,771181917.8901604
2021-07-19,15.02,15.02,12.93,13.53,23237396.629032254,694042630.2332656
2021-07-20,13.44,13.44,11.43,11.88,28425318.967741936,1789533687895054.8
2021-07-21,11.93,14.98,11.8,14.33,46382799.09747292,688217190.8039428
2021-07-22,14.3,16.96270101638286,14.26,16.57,107233957.0935252,828304551.8086079
2021-07-23,16.51,20.31,16.25,19.5947384402682,86253615.76642336,924166779.350294
2021-07-24,19.59912833265796,22.19,19.09,20.30245907797899,135167049.39372823,1043787432.2579316
2021-07-25,20.367123499482567,20.67295520180308,18.48,19.89,91027901.23076925,989817777.7098866
2021-07-26,19.91,19.91,17.31,18.25,71728282.93333334,919800568.7521068
2021-07-27,18.42,19.47,16.68,18.52,85479583.23529412,925317875.2606544
2021-07-28,18.48,19.38,17.72,18.18,83539564.78490566,937299419.3555484
2021-07-29,18.14,18.83,17.55,18.25,48483716.158102766,918016069.4893172
2021-07-30,18.24,29.167782187184777,17.93,23.58,304545682.778626,1127229587.648235
2021-07-31,23.65,27.9,23.02388877166942,24.19101146056081,588755409.3426573,1253321179.2681336
2021-08-01,24.13761269338912,24.13761269338912,21.204577097354232,21.204577097354232,229524674.78745645,1140794134.7739296
2021-08-02,21.21498267483313,22.61783916926989,20.964315720256813,22.248435162027693,147202314.70383275,1104305236.180309
2021-08-03,22.18841220136032,22.18841220136032,20.58,20.91,82886988.78008299,1068241752.9641956
2021-08-04,20.85,22.41,20.39,22.32,61537077.58704454,1086753503.14292
2021-08-05,22.26,23.24,20.97,22.34,75149798.09361702,1113895160.7837634
2021-08-06,22.31,22.57,21.58,22.35,64890014.49327354,1122970382.9866664
2021-08-07,22.45,23.25,21.98,22.76,58080690.58167331,1141708917.7197573
2021-08-08,22.71,23.42,21.44,21.6396,61322142.87603306,1129782935.7141955
2021-08-09,21.5962,22.354135677758503,20.798729918246,22.0218,50342700.0,1106377067.7010045
2021-08-10,22.1906,24.01105193082004,21.6897,23.185648438806243,70395046.43137255,1146543565.9484942
2021-08-11,23.13363828622624,26.237013512674384,23.113265064723265,23.8166,145546447.0277778,1376491119.3839116
2021-08-12,23.8535,23.9599,22.0307,22.5426,82515672.09448819,1304028515.826438
2021-08-13,22.5426,23.8123,22.5242,23.7119,64025826.18803419,1328113148.9135723
2021-08-14,23.6582,23.8429,22.6279,23.3278,42688229.06329114,1320043495.816703
2021-08-15,23.2872,23.2872,22.2141,22.9737,38067207.27272727,1294586266.2084882
2021-08-16,22.9737,23.6344,22.517,22.7197,44752378.55793992,1317215626.8595314
2021-08-17,22.8127,24.8575,22.0084,22.0795,65347104.46031746,1311756418.2960632
2021-08-18,22.1935,23.54170218840264,21.3142,22.3899,101920908.10566038,1276019868.121877
2021-08-19,22.3899,22.84455486528712,21.299,22.8168,68019347.16666667,1253187511.367446
2021-08-20,22.8325,23.5452,22.319,23.3793,54392453.88744589,1306460974.134657
2021-08-21,23.3793,25.2459,23.1657,23.2158,96044556.43773586,1365316045.6313171
2021-08-22,23.2158,23.3279296061763,22.6749,23.0888,55078620.73096447,1313497144.8078177
2021-08-23,23.0888,24.4456,22.8509,24.0707,55705501.67364017,1357464891.9386718
2021-08-24,23.954,23.954,21.7135,21.8015,79768252.23076923,1304203905.9678886
2021-08-25,21.8193,22.868048499913044,20.9422,22.2138,127396302.26573429,1261303871.098241
2021-08-26,22.3896,22.8988,21.01625453223059,21.3343,114886409.02564102,1232518652.6984537
2021-08-27,21.3092,21.9459,21.047,21.9151,73424714.58715597,1222389974.307594
2021-08-28,21.8669,22.148,21.5961,21.684,51876238.82692308,1247092775.5978076
2021-08-29,21.6694,28.69524088468121,21.6085,27.6728,124554186.06451613,1379045021.2568033
2021-08-30,27.6063,28.1769,24.4014,25.0548,364812991.4385965,1496525245.6992197
2021-08-31,25.1603,27.4841,24.1546,25.1534,192190682.7972028,1461061011.2861042
2021-09-01,25.1016,25.8098780679246,24.3518,25.7979,123204213.65034965,1435696430.9124525
2021-09-02,25.743656418399507,25.743656418399507,25.0024,25.25,81055466.73684211,1445568877.7028804
2021-09-03,25.1958,25.8365,24.8238,25.41103211805215,65134767.53526971,1447861787.2490127
2021-09-04,25.41103211805215,27.0667,25.0369,25.7642,71581594.2037037,1469844628.7405505
2021-09-05,25.7642,27.22,25.3672,26.3319,76972057.64102565,1484446407.5822608
2021-09-06,26.515,26.515,25.33695105457716,25.7724,79595200.18691589,1479671384.784972
2021-09-07,25.9114,26.0215,20.61437688458703,21.4254,79284579.77859779,1343882601.0048225
2021-09-08,21.3887,22.7071,18.5796,20.7707,150436162.0277778,1181565515.5728705
2021-09-09,21.0355,22.1144,20.566526022048304,21.4681,106666172.58867924,1215302830.1900334
2021-09-10,21.4411,22.0388,19.6632,20.0418,60840364.18257261,1187028538.3360367
2021-09-11,20.0884,20.6613,19.8076,20.2101,44659853.9253112,1154901364.2907474
2021-09-12,20.4415,20.959,19.832,20.7937,34001541.11504425,1163418967.849456
2021-09-13,20.7498,20.7498,18.7496,19.6795,54325927.61666667,1115374911.8575788
2021-09-14,19.6451,24.18009217820791,19.5508,22.4036,146351654.3939394,1206263127.4315066
2021-09-15,22.7302,22.7302,21.4375,22.0295,186500198.1395349,1255728438.1220243
2021-09-16,22.0757,22.0757,21.0209,21.1877,60745288.96202532,1220465386.660769
2021-09-17,21.1905,21.2735,20.5065,20.5767,49480064.46753247,1190959058.7280974
2021-09-18,20.5767,21.3546,20.4888,20.6808,51904512.23529412,1187294419.1086893
2021-09-19,20.6808,20.85025940868984,19.9491,20.161,50726153.51785714,1165409445.8745592
2021-09-20,20.161,20.161,17.1897,17.5301,102229198.49275362,1044332145.849842
2021-09-21,17.4552,17.614785146554986,15.5505,15.6231,83274234.58461538,972219946.178061
2021-09-22,15.7329,18.2764,15.4017,17.61927610092765,83693458.96629213,962080522.6738406
2021-09-23,17.568832687605813,18.4238,17.369630934843894,18.3593,113329003.85507248,1147890529.968058
2021-09-24,18.3593,18.4497,15.9444,16.782,94522084.01476017,1100740189.6963754
2021-09-25,16.7817,17.0043,16.1316,16.6196,90523224.68571427,1070297797.9668776
2021-09-26,16.5838,16.6549,15.1956,15.6852,68031250.52709359,1027609138.3985416
2021-09-27,15.6997,16.2164,15.6337,15.6337,52117855.56950673,1025558245.25379
2021-09-28,15.6053,15.657,14.9957,15.212,27984759.154347826,992585235.3799988
2021-09-29,15.1979,15.8401,14.9042,15.1141,36750932.173728816,990664305.5796704
2021-09-30,15.1462,15.9017,15.0466,15.9017,32712199.828054298,1002847700.1974738
2021-10-01,15.9002,18.0598,15.6548,17.6344,40402618.11504425,1080447359.937108
2021-10-02,17.6492,19.1673,17.6492,18.6605,68594881.55274262,1200794316.0490394
2021-10-03,18.6605,19.196,18.1504,19.196,39676657.31304348,1201195320.7453914
2021-10-04,19.2355,21.8795831628775,18.1709,20.6546,70606929.1641791,1273058103.6292653
2021-10-05,20.6246,21.437373139404347,19.421659100442884,20.0511,116640753.71014492,1300145468.238371
2021-10-06,20.0511,20.32337403097424,18.727,19.227,71542095.70542635,1257081636.7599063
2021-10-07,19.37082356284879,19.4183,18.7337,18.91483989406036,55618439.29032258,1235701906.6803834
2021-10-08,18.91483989406036,19.2627,18.4735,18.531,48304607.19678715,1214171789.7764783
2021-10-09,18.6098,19.7479,18.5275,19.3861,39498479.62331839,1221100545.8610964
2021-10-10,19.3451,19.8914,18.5241,18.6055,43897833.52529183,1236515139.3808606
2021-10-11,18.5649,19.2518,17.5575,17.8483,45134486.51428571,1196080938.8467534
2021-10-12,17.8483,18.22564662216422,16.5136,17.5576,66443685.99203187,1117454241.5918765
2021-10-13,17.5576,18.7026,17.5576,17.9914,73580003.9322034,1161164999.1031644
2021-10-14,17.9914,18.8334,17.9412,18.6579,70887248.80686696,1184494181.9536805
2021-10-15,18.6197,18.6197,17.04904323625695,17.5929,67985589.15830116,1136800181.047191
2021-10-16,17.6886,17.6886,15.12870190616519,15.920773932229284,88330417.24731183,2494083757.5909247
2021-10-17,15.995773322569208,15.995773322569208,14.56485381806968,15.145487542506672,173336745.53736654,4646933021.241989
2021-10-18,15.176071008663053,15.25875248561468,14.1633,14.5184,112252930.78014185,4473236544.024034
2021-10-19,14.5499,14.5499,12.955187573865391,13.2866,114845495.44827586,4189769679.0554376
2021-10-20,13.2951,14.213351694004258,12.3251,14.195957669677314,214231191.2777778,4063236323.343032
2021-10-21,14.215660440010918,14.957803310809972,13.826434536391124,14.23429856155428,197254324.2222222,611648833156195.5
2021-10-22,14.200716945046066,14.401079669894797,13.410072698250216,13.785470109704926,115401845.05555557,4282379620.437272
2021-10-23,13.806363061739118,13.806363061739118,13.1981,13.3136,111016234.21875,4117425965.870637
2021-10-24,13.3417,13.6284,12.7722,13.120630634501676,67100946.3372549,4057860671.45336
2021-10-25,13.140375199507902,13.6041,13.0797,13.4283,70450030.97716895,4116957914.491204
2021-10-26,13.4292,13.5249,13.0737,13.1369,81392201.28,4109763857.152165
2021-10-27,13.1396,13.299,11.609395544241613,11.8892,116068504.8030888,3812285766.9301615
2021-10-28,11.8996,12.7861,11.6762,12.7861,106959589.16923076,3804399493.002071
2021-10-29,12.7861,14.170352373173907,12.7861,13.674524608089149,174155715.33333334,4195791104.826881
2021-10-30,13.713389721096052,14.99151686717793,13.1046,14.72133836856336,169838042.1111111,4230939074.385113
2021-10-31,15.02038398933758,16.365449820749042,13.49700322228682,13.96231233573859,260876912.16666663,4394998468.036582
2021-11-01,13.970292167560132,14.281751924221153,13.41530758037928,14.020208190245048,116931225.92366412,4259934007.008866
2021-11-02,13.988165736826357,14.7466,13.7521,14.4374,94885571.21632652,4375074740.524738
